	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	scared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale	Dscared_hide_4scale
									
edu_junior	0.0347	0.0235	0.0237	-0.226	-0.239*	-0.242*			
	(0.102)	(0.102)	(0.102)	(0.143)	(0.144)	(0.144)			
edu_senior	-0.117	-0.139	-0.137	-0.351**	-0.391***	-0.387***			
	(0.103)	(0.104)	(0.104)	(0.145)	(0.148)	(0.148)			
edu_techhighcollege	-0.0580	-0.106	-0.101	-0.360**	-0.422***	-0.411***			
	(0.102)	(0.105)	(0.105)	(0.142)	(0.147)	(0.147)			
edu_univabove	0.0625	-0.0128	-0.00515	-0.158	-0.246	-0.227			
	(0.130)	(0.134)	(0.135)	(0.187)	(0.194)	(0.195)			
age	0.239	0.309	0.316	0.651**	0.761**	0.790**			
	(0.189)	(0.204)	(0.205)	(0.280)	(0.305)	(0.307)			
agesquared	-0.0214	-0.0281	-0.0285	-0.0716*	-0.0837**	-0.0858**			
	(0.0251)	(0.0263)	(0.0263)	(0.0367)	(0.0387)	(0.0388)			
male	0.185***	0.158***	0.157***	0.0874	0.0529	0.0470			
	(0.0550)	(0.0559)	(0.0560)	(0.0790)	(0.0808)	(0.0807)			
birth_rate	0.0615	0.0523	0.0522	0.0483	0.0388	0.0404			
	(0.0441)	(0.0439)	(0.0439)	(0.0616)	(0.0616)	(0.0613)			
VeryEarly_disease_d	-0.135	-0.0937	-0.0935	-0.116	-0.0773	-0.0774			
	(0.207)	(0.209)	(0.209)	(0.311)	(0.309)	(0.307)			
income		0.0737**	0.0687*		0.0973*	0.0832			
		(0.0363)	(0.0371)		(0.0502)	(0.0511)			
married		-0.0599	-0.0609		-0.0927	-0.100			
		(0.0624)	(0.0625)		(0.0925)	(0.0936)			
health		0.0448	0.0446		0.0120	0.00974			
		(0.0332)	(0.0332)		(0.0471)	(0.0470)			
work_over_40h			0.0355			0.112			
			(0.0517)			(0.0740)			
d_Chengdu	-0.00201	-0.0157	-0.0143	0.0588	0.0470	0.0497			
	(0.0775)	(0.0781)	(0.0784)	(0.117)	(0.118)	(0.119)			
d_Chongqing	-0.0832	-0.0783	-0.0792	-0.0903	-0.0871	-0.0873			
	(0.101)	(0.101)	(0.101)	(0.160)	(0.159)	(0.159)			
d_Haerbin	-0.151	-0.163*	-0.163*	-0.161	-0.168	-0.170			
	(0.0975)	(0.0974)	(0.0975)	(0.129)	(0.129)	(0.129)			
d_Hefei	-0.0323	-0.0334	-0.0331	-0.0397	-0.0322	-0.0201			
	(0.0752)	(0.0764)	(0.0764)	(0.114)	(0.115)	(0.116)			
Dedu_junior							-0.282	-0.294	-0.303
							(0.377)	(0.376)	(0.380)
Dedu_senior							-0.233	-0.253	-0.261
							(0.370)	(0.370)	(0.374)
Dedu_techhighcollege							-0.250	-0.268	-0.272
							(0.370)	(0.371)	(0.374)
Dedu_univabove							-0.253	-0.282	-0.294
							(0.414)	(0.416)	(0.419)
Dbirth_rate							0.157	0.148	0.148
							(0.101)	(0.0994)	(0.0998)
DVeryEarly_disease_d							-0.289	-0.278	-0.286
							(0.186)	(0.191)	(0.190)
Dincome								0.0358	0.0286
								(0.0724)	(0.0742)
Dmarried								-0.0649	-0.0716
								(0.0970)	(0.0984)
Dhealth								-0.0356	-0.0365
								(0.0654)	(0.0651)
Dwork_over_40h									0.0602
									(0.0865)
Constant	1.973***	1.276***	1.277***	1.502***	0.743	0.727			
	(0.362)	(0.450)	(0.450)	(0.550)	(0.668)	(0.669)			
									
Observations	2,584	2,584	2,584	1,320	1,320	1,320	660	660	660
R-squared	0.020	0.024	0.024	0.034	0.038	0.040	0.007	0.009	0.009
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
