	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	angry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale	Dangry_hide_4scale
									
edu_junior	0.202**	0.211**	0.211**	0.200	0.218	0.216			
	(0.0924)	(0.0929)	(0.0928)	(0.137)	(0.139)	(0.139)			
edu_senior	0.128	0.140	0.141	0.153	0.160	0.163			
	(0.0947)	(0.0962)	(0.0962)	(0.141)	(0.145)	(0.145)			
edu_techhighcollege	0.0878	0.0953	0.0977	0.0562	0.0544	0.0637			
	(0.0943)	(0.0971)	(0.0971)	(0.139)	(0.146)	(0.146)			
edu_univabove	0.162	0.173	0.177	0.181	0.177	0.192			
	(0.119)	(0.124)	(0.125)	(0.180)	(0.190)	(0.191)			
age	0.181	0.215	0.218	0.316	0.385	0.409			
	(0.169)	(0.186)	(0.186)	(0.250)	(0.272)	(0.272)			
agesquared	-0.0165	-0.0189	-0.0191	-0.0332	-0.0397	-0.0414			
	(0.0229)	(0.0243)	(0.0243)	(0.0335)	(0.0355)	(0.0354)			
male	0.122**	0.112**	0.111**	0.102	0.0868	0.0820			
	(0.0479)	(0.0486)	(0.0487)	(0.0706)	(0.0725)	(0.0724)			
birth_rate	0.0192	0.0143	0.0143	0.0269	0.0182	0.0195			
	(0.0409)	(0.0409)	(0.0409)	(0.0573)	(0.0574)	(0.0571)			
VeryEarly_disease_d	-0.0387	-0.0130	-0.0127	-0.150	-0.127	-0.127			
	(0.179)	(0.181)	(0.181)	(0.278)	(0.278)	(0.279)			
income		-0.0101	-0.0127		0.0163	0.00506			
		(0.0337)	(0.0346)		(0.0506)	(0.0519)			
married		-0.00319	-0.00365		-0.0394	-0.0456			
		(0.0555)	(0.0556)		(0.0802)	(0.0807)			
health		0.0789***	0.0788***		0.0691	0.0672			
		(0.0299)	(0.0299)		(0.0443)	(0.0442)			
work_over_40h			0.0177			0.0895			
			(0.0462)			(0.0672)			
d_Chengdu	0.0565	0.0467	0.0474	0.105	0.0956	0.0977			
	(0.0679)	(0.0676)	(0.0677)	(0.0968)	(0.0962)	(0.0961)			
d_Chongqing	-0.184**	-0.177**	-0.177**	-0.234*	-0.228*	-0.228*			
	(0.0761)	(0.0760)	(0.0761)	(0.119)	(0.119)	(0.119)			
d_Haerbin	-0.230**	-0.237***	-0.238***	-0.209	-0.219*	-0.221*			
	(0.0923)	(0.0919)	(0.0920)	(0.129)	(0.128)	(0.128)			
d_Hefei	-0.0571	-0.0735	-0.0734	-0.0787	-0.0918	-0.0821			
	(0.0621)	(0.0630)	(0.0630)	(0.0936)	(0.0949)	(0.0951)			
Dedu_junior							-0.0861	-0.0954	-0.0724
							(0.322)	(0.321)	(0.320)
Dedu_senior							-0.119	-0.136	-0.116
							(0.318)	(0.315)	(0.316)
Dedu_techhighcollege							-0.0879	-0.103	-0.0940
							(0.323)	(0.322)	(0.323)
Dedu_univabove							-0.0613	-0.0868	-0.0586
							(0.357)	(0.356)	(0.358)
Dbirth_rate							0.0927	0.0821	0.0817
							(0.0852)	(0.0843)	(0.0839)
DVeryEarly_disease_d							0.189	0.204	0.225
							(0.410)	(0.408)	(0.406)
Dincome								0.0307	0.0478
								(0.0676)	(0.0675)
Dmarried								-0.0759	-0.0599
								(0.104)	(0.104)
Dhealth								-0.0249	-0.0229
								(0.0629)	(0.0632)
Dwork_over_40h									-0.143
									(0.0896)
Constant	2.000***	1.696***	1.697***	1.737***	1.266**	1.253**			
	(0.317)	(0.394)	(0.395)	(0.472)	(0.581)	(0.579)			
									
Observations	2,624	2,624	2,624	1,320	1,320	1,320	660	660	660
R-squared	0.020	0.024	0.024	0.027	0.029	0.031	0.002	0.004	0.008
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
