	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	hateful_4scale	Dhateful_4scale	Dhateful_4scale	Dhateful_4scale
									
edu_junior	-0.0104	-0.0281	-0.0283	-0.00375	-0.0487	-0.0485			
	(0.0764)	(0.0760)	(0.0760)	(0.111)	(0.110)	(0.111)			
edu_senior	0.00221	-0.0235	-0.0261	0.115	0.0651	0.0649			
	(0.0795)	(0.0799)	(0.0798)	(0.113)	(0.115)	(0.115)			
edu_techhighcollege	-0.0178	-0.0361	-0.0416	0.0296	-0.00418	-0.00467			
	(0.0768)	(0.0782)	(0.0782)	(0.109)	(0.112)	(0.111)			
edu_univabove	0.0271	0.0146	0.00595	-0.0539	-0.0820	-0.0828			
	(0.0868)	(0.0903)	(0.0904)	(0.120)	(0.126)	(0.126)			
age	-0.0521	0.105	0.0982	0.0714	0.243	0.242			
	(0.129)	(0.145)	(0.144)	(0.181)	(0.208)	(0.208)			
agesquared	-0.00855	-0.0274	-0.0270	-0.0249	-0.0455*	-0.0454*			
	(0.0174)	(0.0188)	(0.0187)	(0.0241)	(0.0266)	(0.0266)			
male	0.0836**	0.0896**	0.0912**	0.0994*	0.0995*	0.0997*			
	(0.0374)	(0.0375)	(0.0375)	(0.0529)	(0.0538)	(0.0540)			
birth_rate	-0.00404	0.00377	0.00383	0.0291	0.0413	0.0412			
	(0.0299)	(0.0296)	(0.0296)	(0.0425)	(0.0421)	(0.0421)			
VeryEarly_disease_d	0.138	0.1000	0.0994	-0.180	-0.189	-0.189			
	(0.149)	(0.144)	(0.144)	(0.209)	(0.204)	(0.204)			
income		0.00901	0.0147		0.0217	0.0223			
		(0.0250)	(0.0254)		(0.0363)	(0.0368)			
married		-0.161***	-0.160***		-0.174**	-0.174**			
		(0.0461)	(0.0461)		(0.0708)	(0.0708)			
health		-0.130***	-0.130***		-0.150***	-0.150***			
		(0.0224)	(0.0224)		(0.0311)	(0.0311)			
work_over_40h			-0.0401			-0.00477			
			(0.0351)			(0.0506)			
d_Chengdu	-0.0983*	-0.0653	-0.0670	-0.0459	-0.0201	-0.0202			
	(0.0566)	(0.0557)	(0.0557)	(0.0834)	(0.0806)	(0.0806)			
d_Chongqing	0.0951	0.0915	0.0925	0.166	0.155	0.155			
	(0.0658)	(0.0640)	(0.0640)	(0.101)	(0.0985)	(0.0985)			
d_Haerbin	-0.115*	-0.0897	-0.0893	-0.0970	-0.0618	-0.0617			
	(0.0627)	(0.0629)	(0.0630)	(0.0827)	(0.0836)	(0.0837)			
d_Hefei	-0.0932*	-0.0414	-0.0416	-0.0844	-0.0215	-0.0220			
	(0.0517)	(0.0517)	(0.0517)	(0.0779)	(0.0780)	(0.0784)			
Dedu_junior							0.0303	-0.0251	-0.0253
							(0.263)	(0.266)	(0.268)
Dedu_senior							-0.0686	-0.131	-0.131
							(0.266)	(0.271)	(0.273)
Dedu_techhighcollege							-0.115	-0.159	-0.159
							(0.271)	(0.280)	(0.281)
Dedu_univabove							-0.268	-0.337	-0.337
							(0.293)	(0.300)	(0.302)
Dbirth_rate							0.0317	0.0226	0.0227
							(0.0699)	(0.0715)	(0.0716)
DVeryEarly_disease_d							-0.281	-0.277	-0.278
							(0.296)	(0.283)	(0.283)
Dincome								-0.00380	-0.00398
								(0.0561)	(0.0567)
Dmarried								-0.193**	-0.193**
								(0.0869)	(0.0870)
Dhealth								-0.126***	-0.126***
								(0.0471)	(0.0470)
Dwork_over_40h									0.00152
									(0.0650)
Constant	2.375***	2.590***	2.587***	2.027***	2.232***	2.233***			
	(0.246)	(0.303)	(0.302)	(0.345)	(0.428)	(0.428)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.028	0.048	0.048	0.038	0.063	0.063	0.007	0.028	0.028
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
