	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	angry_control_4scale	Dangry_control_4scale	Dangry_control_4scale	Dangry_control_4scale
									
edu_junior	0.0966	0.107	0.107	0.200	0.213	0.212			
	(0.0936)	(0.0935)	(0.0934)	(0.134)	(0.136)	(0.136)			
edu_senior	0.122	0.138	0.140	0.0424	0.0672	0.0688			
	(0.0948)	(0.0953)	(0.0952)	(0.137)	(0.140)	(0.140)			
edu_techhighcollege	0.152	0.171*	0.177*	0.143	0.165	0.169			
	(0.0952)	(0.0960)	(0.0959)	(0.137)	(0.141)	(0.141)			
edu_univabove	0.238**	0.262**	0.271**	0.171	0.192	0.199			
	(0.114)	(0.117)	(0.118)	(0.165)	(0.171)	(0.171)			
age	0.303**	0.253	0.260	0.449**	0.286	0.296			
	(0.152)	(0.173)	(0.173)	(0.210)	(0.238)	(0.239)			
agesquared	-0.0206	-0.0144	-0.0147	-0.0410	-0.0229	-0.0237			
	(0.0202)	(0.0221)	(0.0221)	(0.0274)	(0.0299)	(0.0300)			
male	0.0676	0.0690	0.0674	0.00813	0.0206	0.0184			
	(0.0439)	(0.0443)	(0.0445)	(0.0615)	(0.0627)	(0.0628)			
birth_rate	0.0529	0.0512	0.0511	0.0122	0.0119	0.0125			
	(0.0350)	(0.0350)	(0.0350)	(0.0438)	(0.0441)	(0.0443)			
VeryEarly_disease_d	-0.0728	-0.0636	-0.0630	0.0714	0.0577	0.0577			
	(0.146)	(0.146)	(0.146)	(0.163)	(0.162)	(0.160)			
income		-0.0230	-0.0286		-0.0267	-0.0319			
		(0.0306)	(0.0313)		(0.0439)	(0.0449)			
married		0.0593	0.0582		0.140*	0.137*			
		(0.0568)	(0.0569)		(0.0793)	(0.0794)			
health		0.0523**	0.0521**		0.0354	0.0345			
		(0.0261)	(0.0261)		(0.0360)	(0.0360)			
work_over_40h			0.0394			0.0417			
			(0.0411)			(0.0572)			
d_Chengdu	-0.0352	-0.0446	-0.0430	-0.119	-0.127	-0.126			
	(0.0640)	(0.0642)	(0.0644)	(0.0874)	(0.0874)	(0.0877)			
d_Chongqing	-0.0564	-0.0543	-0.0553	-0.0904	-0.0891	-0.0892			
	(0.0788)	(0.0793)	(0.0790)	(0.121)	(0.121)	(0.121)			
d_Haerbin	0.0642	0.0572	0.0568	-0.0405	-0.0544	-0.0554			
	(0.0806)	(0.0805)	(0.0806)	(0.103)	(0.103)	(0.103)			
d_Hefei	-0.101*	-0.121**	-0.121**	-0.255***	-0.283***	-0.279***			
	(0.0606)	(0.0615)	(0.0614)	(0.0886)	(0.0902)	(0.0907)			
Dedu_junior							-0.0327	-0.0173	-0.0228
							(0.309)	(0.306)	(0.309)
Dedu_senior							-0.243	-0.222	-0.227
							(0.306)	(0.303)	(0.305)
Dedu_techhighcollege							-0.218	-0.202	-0.204
							(0.327)	(0.324)	(0.326)
Dedu_univabove							-0.203	-0.174	-0.181
							(0.344)	(0.341)	(0.343)
Dbirth_rate							0.0155	0.0292	0.0293
							(0.103)	(0.105)	(0.105)
DVeryEarly_disease_d							0.199	0.175	0.170
							(0.270)	(0.260)	(0.258)
Dincome								-0.0125	-0.0166
								(0.0635)	(0.0644)
Dmarried								0.135*	0.131
								(0.0804)	(0.0808)
Dhealth								0.0242	0.0238
								(0.0499)	(0.0500)
Dwork_over_40h									0.0344
									(0.0731)
Constant	1.988***	1.991***	1.994***	1.946***	2.209***	2.203***			
	(0.292)	(0.377)	(0.377)	(0.414)	(0.538)	(0.539)			
									
Observations	2,625	2,625	2,625	1,320	1,320	1,320	660	660	660
R-squared	0.034	0.036	0.036	0.052	0.056	0.056	0.007	0.011	0.011
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
