	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	life_short	life_short	life_short	life_short	life_short	life_short	Dlife_short	Dlife_short	Dlife_short
									
edu_junior	-0.0533	-0.0843	-0.0845	-0.0711	-0.185	-0.188			
	(0.179)	(0.177)	(0.177)	(0.257)	(0.253)	(0.254)			
edu_senior	-0.0678	-0.112	-0.115	-0.126	-0.241	-0.236			
	(0.186)	(0.185)	(0.185)	(0.270)	(0.269)	(0.270)			
edu_techhighcollege	-0.0645	-0.103	-0.109	0.0472	-0.0472	-0.0358			
	(0.183)	(0.185)	(0.185)	(0.263)	(0.265)	(0.266)			
edu_univabove	0.220	0.174	0.165	0.413	0.306	0.325			
	(0.234)	(0.238)	(0.238)	(0.323)	(0.326)	(0.326)			
age	0.608**	0.688**	0.680**	0.714	0.808	0.837*			
	(0.297)	(0.328)	(0.328)	(0.454)	(0.494)	(0.497)			
agesquared	-0.0340	-0.0461	-0.0457	-0.0375	-0.0531	-0.0552			
	(0.0399)	(0.0424)	(0.0424)	(0.0598)	(0.0631)	(0.0634)			
male	-0.216**	-0.202**	-0.201**	-0.227*	-0.218*	-0.224*			
	(0.0898)	(0.0907)	(0.0907)	(0.132)	(0.131)	(0.132)			
birth_rate	-0.0176	-0.00570	-0.00563	0.0495	0.0783	0.0799			
	(0.0642)	(0.0644)	(0.0644)	(0.0933)	(0.0941)	(0.0943)			
VeryEarly_disease_d	-0.614	-0.677*	-0.678*	-1.087**	-1.126**	-1.126**			
	(0.390)	(0.386)	(0.386)	(0.521)	(0.502)	(0.503)			
income		0.0427	0.0490		0.0742	0.0602			
		(0.0632)	(0.0643)		(0.0893)	(0.0910)			
married		-0.134	-0.133		-0.168	-0.176			
		(0.103)	(0.103)		(0.151)	(0.152)			
health		-0.223***	-0.222***		-0.350***	-0.352***			
		(0.0531)	(0.0531)		(0.0762)	(0.0761)			
work_over_40h			-0.0451			0.111			
			(0.0839)			(0.125)			
d_Chengdu	0.334**	0.373***	0.371**	0.414*	0.457**	0.459**			
	(0.145)	(0.144)	(0.144)	(0.223)	(0.220)	(0.221)			
d_Chongqing	0.207	0.192	0.194	0.0200	-0.00635	-0.00660			
	(0.151)	(0.151)	(0.151)	(0.229)	(0.225)	(0.225)			
d_Haerbin	0.0336	0.0638	0.0643	0.253	0.312	0.309			
	(0.159)	(0.160)	(0.160)	(0.204)	(0.204)	(0.203)			
d_Hefei	-0.441***	-0.374***	-0.374***	-0.235	-0.122	-0.110			
	(0.116)	(0.116)	(0.116)	(0.185)	(0.181)	(0.183)			
Dedu_junior							-0.839	-0.927	-0.958
							(0.711)	(0.685)	(0.680)
Dedu_senior							-0.725	-0.856	-0.883
							(0.733)	(0.704)	(0.700)
Dedu_techhighcollege							-0.883	-1.000	-1.013
							(0.707)	(0.678)	(0.674)
Dedu_univabove							-1.016	-1.196	-1.234*
							(0.775)	(0.745)	(0.743)
Dbirth_rate							0.123	0.0764	0.0769
							(0.164)	(0.174)	(0.174)
DVeryEarly_disease_d							-0.759	-0.714	-0.743
							(0.841)	(0.824)	(0.823)
Dincome								0.178	0.155
								(0.113)	(0.113)
Dmarried								-0.379**	-0.401**
								(0.165)	(0.166)
Dhealth								-0.257**	-0.260**
								(0.117)	(0.118)
Dwork_over_40h									0.193
									(0.149)
Constant	3.199***	3.705***	3.702***	2.630***	3.454***	3.437***			
	(0.570)	(0.721)	(0.720)	(0.882)	(1.090)	(1.093)			
									
Observations	2,635	2,635	2,635	1,320	1,320	1,320	660	660	660
R-squared	0.069	0.078	0.078	0.074	0.094	0.095	0.010	0.032	0.034
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
