	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	happiness_control_4scale	Dhappiness_control_4scale	Dhappiness_control_4scale	Dhappiness_control_4scale
									
edu_junior	-0.0438	-0.0415	-0.0417	-0.101	-0.0994	-0.0988			
	(0.0867)	(0.0869)	(0.0868)	(0.124)	(0.125)	(0.125)			
edu_senior	0.0688	0.0716	0.0669	-0.00748	-0.00906	-0.0105			
	(0.0869)	(0.0881)	(0.0880)	(0.126)	(0.129)	(0.129)			
edu_techhigh	0.0768	0.0791	0.0710	-0.0388	-0.0461	-0.0481			
	(0.0924)	(0.0934)	(0.0932)	(0.132)	(0.134)	(0.133)			
edu_college	0.112	0.100	0.0895	0.0607	0.0286	0.0233			
	(0.0933)	(0.0968)	(0.0967)	(0.132)	(0.138)	(0.137)			
edu_univabove	0.154	0.136	0.121	0.0366	-0.00324	-0.00884			
	(0.106)	(0.110)	(0.111)	(0.144)	(0.150)	(0.150)			
age	0.306*	0.213	0.202	0.276	0.179	0.172			
	(0.160)	(0.181)	(0.181)	(0.222)	(0.252)	(0.253)			
agesquared	-0.0159	-0.00545	-0.00493	-0.0135	-0.00277	-0.00222			
	(0.0212)	(0.0232)	(0.0232)	(0.0290)	(0.0319)	(0.0320)			
male	0.0440	0.0425	0.0452	0.0547	0.0469	0.0485			
	(0.0424)	(0.0432)	(0.0432)	(0.0583)	(0.0593)	(0.0593)			
birth_rate	0.0446	0.0421	0.0423	0.0491	0.0443	0.0439			
	(0.0367)	(0.0365)	(0.0365)	(0.0486)	(0.0482)	(0.0482)			
VeryEarly_disease_d	0.0526	0.0662	0.0656	0.374***	0.387***	0.387***			
	(0.153)	(0.153)	(0.153)	(0.108)	(0.114)	(0.115)			
income		0.0194	0.0293		0.0383	0.0429			
		(0.0290)	(0.0299)		(0.0404)	(0.0419)			
married		0.0774	0.0792		0.0865	0.0886			
		(0.0597)	(0.0596)		(0.0833)	(0.0833)			
health		0.0274	0.0277		0.0361	0.0367			
		(0.0266)	(0.0265)		(0.0376)	(0.0375)			
work_over_40h			-0.0694			-0.0342			
			(0.0435)			(0.0602)			
Dedu_junior							-0.394	-0.391	-0.389
							(0.310)	(0.315)	(0.318)
Dedu_senior							-0.286	-0.292	-0.290
							(0.321)	(0.325)	(0.327)
Dedu_techhighcollege							-0.360	-0.372	-0.371
							(0.341)	(0.345)	(0.346)
Dedu_collegeabove							0.130	0.127	0.127
							(0.155)	(0.153)	(0.153)
Dedu_univabove							-0.407	-0.413	-0.411
							(0.381)	(0.385)	(0.388)
Dbirth_rate							-0.0915	-0.0729	-0.0730
							(0.0969)	(0.0970)	(0.0972)
DVeryEarly_disease_d							0.610**	0.556**	0.558**
							(0.262)	(0.266)	(0.266)
Dincome								0.0695	0.0708
								(0.0595)	(0.0603)
Dmarried								0.241**	0.242**
								(0.104)	(0.105)
Dhealth								-0.0649	-0.0648
								(0.0574)	(0.0575)
Dwork_over_40h									-0.0102
									(0.0767)
Constant	2.055***	1.966***	1.960***	2.207***	1.982***	1.983***			
	(0.302)	(0.379)	(0.379)	(0.423)	(0.526)	(0.527)			
									
Observations	2,629	2,629	2,629	1,320	1,320	1,320	660	660	660
R-squared	0.040	0.041	0.042	0.043	0.046	0.046	0.014	0.029	0.029
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
