	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	scared_control_4scale	Dscared_control_4scale	Dscared_control_4scale	Dscared_control_4scale
									
edu_junior	0.0269	0.0246	0.0245	-0.0640	-0.0626	-0.0611			
	(0.0960)	(0.0960)	(0.0962)	(0.131)	(0.130)	(0.130)			
edu_senior	0.0160	0.0106	0.00451	-0.145	-0.153	-0.156			
	(0.0987)	(0.0994)	(0.0996)	(0.136)	(0.138)	(0.138)			
edu_techhigh	0.107	0.0982	0.0882	-0.0790	-0.0886	-0.0932			
	(0.104)	(0.105)	(0.105)	(0.145)	(0.147)	(0.147)			
edu_college	-0.0435	-0.0560	-0.0699	-0.165	-0.184	-0.196			
	(0.106)	(0.109)	(0.109)	(0.146)	(0.150)	(0.151)			
edu_univabove	0.203*	0.190	0.171	0.0621	0.0426	0.0294			
	(0.115)	(0.119)	(0.120)	(0.156)	(0.163)	(0.164)			
age	0.237	0.308*	0.293	0.324	0.385	0.366			
	(0.168)	(0.184)	(0.184)	(0.239)	(0.262)	(0.264)			
agesquared	-0.0169	-0.0242	-0.0234	-0.0277	-0.0341	-0.0328			
	(0.0223)	(0.0237)	(0.0237)	(0.0312)	(0.0333)	(0.0333)			
male	0.154***	0.145***	0.149***	0.0900	0.0783	0.0821			
	(0.0467)	(0.0471)	(0.0470)	(0.0640)	(0.0648)	(0.0646)			
birth_rate	0.0925**	0.0900**	0.0902**	0.0478	0.0438	0.0429			
	(0.0376)	(0.0376)	(0.0375)	(0.0483)	(0.0479)	(0.0478)			
VeryEarly_disease_d	-0.190	-0.177	-0.178	-0.0884	-0.0733	-0.0721			
	(0.196)	(0.197)	(0.197)	(0.199)	(0.198)	(0.201)			
income		0.0115	0.0243		0.0248	0.0355			
		(0.0308)	(0.0315)		(0.0428)	(0.0438)			
married		-0.0524	-0.0501		-0.0445	-0.0396			
		(0.0556)	(0.0556)		(0.0791)	(0.0793)			
health		0.0187	0.0193		0.0172	0.0186			
		(0.0271)	(0.0271)		(0.0381)	(0.0381)			
work_over_40h			-0.0897**			-0.0810			
			(0.0440)			(0.0611)			
Dedu_junior							0.113	0.0853	0.0890
							(0.331)	(0.318)	(0.320)
Dedu_senior							0.0812	0.0566	0.0598
							(0.323)	(0.310)	(0.311)
Dedu_techhighcollege							0.00284	-0.0141	-0.0124
							(0.347)	(0.336)	(0.336)
Dedu_collegeabove							-0.138	-0.134	-0.134
							(0.134)	(0.132)	(0.133)
Dedu_univabove							0.341	0.319	0.324
							(0.380)	(0.368)	(0.370)
Dbirth_rate							0.0689	0.0808	0.0807
							(0.0732)	(0.0750)	(0.0752)
DVeryEarly_disease_d							-0.187	-0.218	-0.215
							(0.258)	(0.264)	(0.265)
Dincome								-0.0260	-0.0232
								(0.0531)	(0.0546)
Dmarried								0.0184	0.0210
								(0.0858)	(0.0865)
Dhealth								-0.0762	-0.0759
								(0.0495)	(0.0495)
Dwork_over_40h									-0.0230
									(0.0645)
Constant	2.171***	1.926***	1.919***	2.303***	2.002***	2.003***			
	(0.322)	(0.395)	(0.393)	(0.451)	(0.558)	(0.556)			
									
Observations	2,598	2,598	2,598	1,320	1,320	1,320	660	660	660
R-squared	0.025	0.026	0.028	0.026	0.027	0.028	0.014	0.018	0.019
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
